year,location,type_of_crime,incidents,rate_per_100k
2005,Nova Scotia ,Sexual violations against children,5,0.53
2005,Nova Scotia ,"Theft over $5,000",388,41.37
2005,Nova Scotia ,"Theft under $5,000",18251,1945.86
2005,Nova Scotia ,Trespass,230,24.52
2005,Nova Scotia ,Weapons violations,514,54.8
2005,Nunavut ,Attempted murder,5,16.49
2005,Nunavut ,Counterfeiting,0,0
2005,Nunavut ,Drug violations,268,883.67
2005,Nunavut ,Facilitate terrorist activit,0,0
2005,Nunavut ,Firearms related crime,22,72.54
2005,Nunavut ,Fraud,79,260.49
2005,Nunavut ,Homicide,2,6.59
2005,Nunavut ,Impaired driving,185,610
2005,Nunavut ,Motor vehicle theft,192,633.08
2005,Nunavut ,Prostitution,0,0
2005,Nunavut ,Public incitement of hatred,0,0
2005,Nunavut ,Robbery,7,23.08
2005,Nunavut ,Sexual violations against children,0,0
2005,Nunavut ,"Theft over $5,000",19,62.65
2005,Nunavut ,"Theft under $5,000",519,1711.29
2005,Nunavut ,Trespass,5,16.49
2005,Nunavut ,Weapons violations,25,82.43
2005,Ontario ,Attempted murder,271,2.16
2005,Ontario ,Counterfeiting,643,5.13
2005,Ontario ,Drug violations,29031,231.72
2005,Ontario ,Facilitate terrorist activit,1,0.01
2005,Ontario ,Firearms related crime,446,3.56
2005,Ontario ,Fraud,35220,281.12
2005,Ontario ,Homicide,219,1.75
2005,Ontario ,Impaired driving,17898,142.86
2005,Ontario ,Motor vehicle theft,39903,318.5
2005,Ontario ,Prostitution,1287,10.27
2005,Ontario ,Public incitement of hatred,0,0
2005,Ontario ,Robbery,11309,90.27
2005,Ontario ,Sexual violations against children,19,0.15
2005,Ontario ,"Theft over $5,000",5320,42.46
2005,Ontario ,"Theft under $5,000",190584,1521.21
2005,Ontario ,Trespass,988,7.89
2005,Ontario ,Weapons violations,5189,41.42
2005,Prince Edward Island ,Attempted murder,0,0
2005,Prince Edward Island ,Counterfeiting,1,0.72
2005,Prince Edward Island ,Drug violations,199,144.15
2005,Prince Edward Island ,Facilitate terrorist activit,0,0
2005,Prince Edward Island ,Firearms related crime,4,2.9
2005,Prince Edward Island ,Fraud,378,273.8
2005,Prince Edward Island ,Homicide,0,0
2005,Prince Edward Island ,Impaired driving,549,397.67
2005,Prince Edward Island ,Motor vehicle theft,219,158.63
2005,Prince Edward Island ,Prostitution,0,0
2005,Prince Edward Island ,Robbery,18,13.04
2005,Prince Edward Island ,Sexual violations against children,0,0
2005,Prince Edward Island ,"Theft over $5,000",42,30.42
2005,Prince Edward Island ,"Theft under $5,000",3052,2210.71
2005,Prince Edward Island ,Trespass,40,28.97
2005,Prince Edward Island ,Weapons violations,30,21.73
2005,Quebec ,Attempted murder,243,3.2
2005,Quebec ,Counterfeiting,205,2.7
2005,Quebec ,Drug violations,19215,253.43
2005,Quebec ,Facilitate terrorist activit,0,0
2005,Quebec ,Firearms related crime,292,3.85
2005,Quebec ,Fraud,17956,236.83
2005,Quebec ,Homicide,100,1.32
2005,Quebec ,Impaired driving,16501,217.64
2005,Quebec ,Motor vehicle theft,38486,507.6
2005,Quebec ,Prostitution,1280,16.88
2005,Quebec ,Public incitement of hatred,0,0
2005,Quebec ,Robbery,7626,100.58
2005,Quebec ,Sexual violations against children,9,0.12
2005,Quebec ,"Theft over $5,000",5112,67.42
2005,Quebec ,"Theft under $5,000",108729,1434.06
2005,Quebec ,Trespass,260,3.43
2005,Quebec ,Weapons violations,1394,18.39
2005,Saskatchewan ,Attempted murder,55,5.54
2005,Saskatchewan ,Counterfeiting,50,5.03
2005,Saskatchewan ,Drug violations,3158,317.84
2005,Saskatchewan ,Facilitate terrorist activit,0,0
2005,Saskatchewan ,Firearms related crime,76,7.65
2005,Saskatchewan ,Fraud,3833,385.78
2005,Saskatchewan ,Homicide,43,4.33
2005,Saskatchewan ,Impaired driving,5899,593.71
2005,Saskatchewan ,Motor vehicle theft,6104,614.34
2005,Saskatchewan ,Prostitution,212,21.34
2005,Saskatchewan ,Public incitement of hatred,0,0
2005,Saskatchewan ,Robbery,1394,140.3
2005,Saskatchewan ,Sexual violations against children,1,0.1
2005,Saskatchewan ,"Theft over $5,000",551,55.46
2005,Saskatchewan ,"Theft under $5,000",27312,2748.85
2005,Saskatchewan ,Trespass,141,14.19
2005,Saskatchewan ,Weapons violations,921,92.7
2005,Yukon ,Attempted murder,2,6.27
2005,Yukon ,Counterfeiting,2,6.27
2005,Yukon ,Drug violations,101,316.57
2005,Yukon ,Facilitate terrorist activit,0,0
2005,Yukon ,Firearms related crime,0,0
2005,Yukon ,Fraud,77,241.35
2005,Yukon ,Homicide,1,3.13
2005,Yukon ,Impaired driving,324,1015.55
2005,Yukon ,Motor vehicle theft,146,457.62
2005,Yukon ,Prostitution,0,0
2005,Yukon ,Public incitement of hatred,0,0
2005,Yukon ,Robbery,18,56.42
2005,Yukon ,Sexual violations against children,0,0
2005,Yukon ,"Theft over $5,000",35,109.7
2005,Yukon ,"Theft under $5,000",1094,3429.04
2005,Yukon ,Trespass,2,6.27
2005,Yukon ,Weapons violations,31,97.17
2006,Alberta ,Attempted murder,76,2.22
2006,Alberta ,Counterfeiting,68,1.99
2006,Alberta ,Drug violations,8869,259.22
2006,Alberta ,Facilitate terrorist activit,2,0.06
2006,Alberta ,Firearms related crime,152,4.44
2006,Alberta ,Fraud,11950,349.28
2006,Alberta ,Homicide,95,2.78
2006,Alberta ,Impaired driving,11803,344.98
2006,Alberta ,Motor vehicle theft,24478,715.45
2006,Alberta ,Prostitution,855,24.99
2006,Alberta ,Public incitement of hatred,1,0.03
2006,Alberta ,Robbery,3546,103.64
2006,Alberta ,Sexual violations against children,15,0.44
2006,Alberta ,"Theft over $5,000",2214,64.71
2006,Alberta ,"Theft under $5,000",80648,2357.19
2006,Alberta ,Trespass,356,10.41
2006,Alberta ,Weapons violations,2075,60.65
2006,British Columbia ,Attempted murder,88,2.07
2006,British Columbia ,Counterfeiting,208,4.9
2006,British Columbia ,Drug violations,25630,604.24
2006,British Columbia ,Facilitate terrorist activit,0,0
2006,British Columbia ,Firearms related crime,470,11.08
2006,British Columbia ,Fraud,15121,356.49
2006,British Columbia ,Homicide,108,2.55
2006,British Columbia ,Impaired driving,14663,345.69
2006,British Columbia ,Motor vehicle theft,29388,692.84
2006,British Columbia ,Prostitution,1302,30.7
2006,British Columbia ,Public incitement of hatred,0,0
2006,British Columbia ,Robbery,5318,125.37
2006,British Columbia ,Sexual violations against children,30,0.71
2006,British Columbia ,"Theft over $5,000",2498,58.89
2006,British Columbia ,"Theft under $5,000",145170,3422.46
2006,British Columbia ,Trespass,1149,27.09
2006,British Columbia ,Weapons violations,4749,111.96
2006,Manitoba ,Attempted murder,24,2.03
2006,Manitoba ,Counterfeiting,45,3.8
2006,Manitoba ,Drug violations,2191,185.13
2006,Manitoba ,Facilitate terrorist activit,1,0.08
2006,Manitoba ,Firearms related crime,79,6.67
2006,Manitoba ,Fraud,2560,216.3
2006,Manitoba ,Homicide,39,3.3
2006,Manitoba ,Impaired driving,2869,242.41
2006,Manitoba ,Motor vehicle theft,16175,1366.68
2006,Manitoba ,Prostitution,159,13.43
2006,Manitoba ,Public incitement of hatred,0,0
2006,Manitoba ,Robbery,2416,204.14
2006,Manitoba ,Sexual violations against children,11,0.93
2006,Manitoba ,"Theft over $5,000",566,47.82
2006,Manitoba ,"Theft under $5,000",25316,2139.04
2006,Manitoba ,Trespass,103,8.7
2006,Manitoba ,Weapons violations,978,82.63
2006,New Brunswick ,Attempted murder,9,1.21
2006,New Brunswick ,Counterfeiting,34,4.56
2006,New Brunswick ,Drug violations,1817,243.69
2006,New Brunswick ,Facilitate terrorist activit,0,0
2006,New Brunswick ,Firearms related crime,20,2.68
2006,New Brunswick ,Fraud,1772,237.66
2006,New Brunswick ,Homicide,7,0.94
2006,New Brunswick ,Impaired driving,1918,257.24
2006,New Brunswick ,Motor vehicle theft,1384,185.62
2006,New Brunswick ,Prostitution,117,15.69
2006,New Brunswick ,Public incitement of hatred,0,0
2006,New Brunswick ,Robbery,234,31.38
2006,New Brunswick ,Sexual violations against children,0,0
2006,New Brunswick ,"Theft over $5,000",275,36.88
2006,New Brunswick ,"Theft under $5,000",10765,1443.79
2006,New Brunswick ,Trespass,216,28.97
2006,New Brunswick ,Weapons violations,242,32.46
2006,Newfoundland and Labrador,Attempted murder,5,0.98
2006,Newfoundland and Labrador,Counterfeiting,6,1.18
2006,Newfoundland and Labrador,Drug violations,667,130.63
2006,Newfoundland and Labrador,Facilitate terrorist activit,0,0
2006,Newfoundland and Labrador,Firearms related crime,20,3.92
2006,Newfoundland and Labrador,Fraud,1007,197.23
2006,Newfoundland and Labrador,Homicide,7,1.37
2006,Newfoundland and Labrador,Impaired driving,1117,218.77
2006,Newfoundland and Labrador,Motor vehicle theft,665,130.24
2006,Newfoundland and Labrador,Prostitution,5,0.98
2006,Newfoundland and Labrador,Public incitement of hatred,0,0
2006,Newfoundland and Labrador,Robbery,132,25.85
2006,Newfoundland and Labrador,Sexual violations against children,0,0
2006,Newfoundland and Labrador,"Theft over $5,000",73,14.3
2006,Newfoundland and Labrador,"Theft under $5,000",6371,1247.79
2006,Newfoundland and Labrador,Trespass,38,7.44
2006,Newfoundland and Labrador,Weapons violations,122,23.89
2006,Northwest Territories ,Attempted murder,0,0
2006,Northwest Territories ,Counterfeiting,2,4.63
2006,Northwest Territories ,Drug violations,349,808.28
2006,Northwest Territories ,Facilitate terrorist activit,0,0
2006,Northwest Territories ,Firearms related crime,6,13.9
2006,Northwest Territories ,Fraud,103,238.55
2006,Northwest Territories ,Homicide,0,0
2006,Northwest Territories ,Impaired driving,731,1692.99
2006,Northwest Territories ,Motor vehicle theft,389,900.92
2006,Northwest Territories ,Prostitution,1,2.32
2006,Northwest Territories ,Public incitement of hatred,0,0
2006,Northwest Territories ,Robbery,19,44
2006,Northwest Territories ,Sexual violations against children,0,0
2006,Northwest Territories ,"Theft over $5,000",27,62.53
2006,Northwest Territories ,"Theft under $5,000",1115,2582.33
2006,Northwest Territories ,Trespass,30,69.48
2006,Northwest Territories ,Weapons violations,59,136.64
2006,Nova Scotia ,Attempted murder,26,2.77
2006,Nova Scotia ,Counterfeiting,10,1.07
2006,Nova Scotia ,Drug violations,2076,221.35
2006,Nova Scotia ,Facilitate terrorist activit,0,0
2006,Nova Scotia ,Firearms related crime,51,5.44
2006,Nova Scotia ,Fraud,2783,296.74
2006,Nova Scotia ,Homicide,16,1.71
2006,Nova Scotia ,Impaired driving,2698,287.67
2006,Nova Scotia ,Motor vehicle theft,2446,260.8
2006,Nova Scotia ,Prostitution,57,6.08
2006,Nova Scotia ,Public incitement of hatred,0,0
2006,Nova Scotia ,Robbery,889,94.79
2006,Nova Scotia ,Sexual violations against children,15,1.6
2006,Nova Scotia ,"Theft over $5,000",410,43.72
2006,Nova Scotia ,"Theft under $5,000",18125,1932.57
2006,Nova Scotia ,Trespass,184,19.62
2006,Nova Scotia ,Weapons violations,573,61.1
2006,Nunavut ,Attempted murder,4,12.98
2006,Nunavut ,Counterfeiting,0,0
2006,Nunavut ,Drug violations,210,681.55
2006,Nunavut ,Facilitate terrorist activit,0,0
2006,Nunavut ,Firearms related crime,7,22.72
2006,Nunavut ,Fraud,55,178.5
2006,Nunavut ,Homicide,2,6.49
2006,Nunavut ,Impaired driving,276,895.75
2006,Nunavut ,Motor vehicle theft,192,623.13
2006,Nunavut ,Prostitution,3,9.74
2006,Nunavut ,Public incitement of hatred,0,0
2006,Nunavut ,Robbery,13,42.19
2006,Nunavut ,Sexual violations against children,0,0
2006,Nunavut ,"Theft over $5,000",12,38.95
2006,Nunavut ,"Theft under $5,000",405,1314.42
2006,Nunavut ,Trespass,5,16.23
2006,Nunavut ,Weapons violations,32,103.86
2006,Ontario ,Attempted murder,318,2.51
2006,Ontario ,Counterfeiting,480,3.79
2006,Ontario ,Drug violations,31019,244.99
2006,Ontario ,Facilitate terrorist activit,1,0.01
2006,Ontario ,Firearms related crime,370,2.92
2006,Ontario ,Fraud,36350,287.09
2006,Ontario ,Homicide,196,1.55
2006,Ontario ,Impaired driving,17737,140.09
2006,Ontario ,Motor vehicle theft,38393,303.22
2006,Ontario ,Prostitution,1442,11.39
2006,Ontario ,Public incitement of hatred,0,0
2006,Ontario ,Robbery,12509,98.8
2006,Ontario ,Sexual violations against children,92,0.73
2006,Ontario ,"Theft over $5,000",5529,43.67
2006,Ontario ,"Theft under $5,000",195532,1544.3
2006,Ontario ,Trespass,964,7.61
2006,Ontario ,Weapons violations,5326,42.06
2006,Prince Edward Island ,Attempted murder,2,1.45
2006,Prince Edward Island ,Counterfeiting,4,2.9
2006,Prince Edward Island ,Drug violations,184,133.46
2006,Prince Edward Island ,Facilitate terrorist activit,0,0
2006,Prince Edward Island ,Firearms related crime,3,2.18
2006,Prince Edward Island ,Fraud,352,255.32
2006,Prince Edward Island ,Homicide,1,0.73
2006,Prince Edward Island ,Impaired driving,576,417.8
2006,Prince Edward Island ,Motor vehicle theft,156,113.15
2006,Prince Edward Island ,Prostitution,1,0.73
2006,Prince Edward Island ,Public incitement of hatred,0,0
2006,Prince Edward Island ,Robbery,25,18.13
2006,Prince Edward Island ,Sexual violations against children,0,0
2006,Prince Edward Island ,"Theft over $5,000",41,29.74
2006,Prince Edward Island ,"Theft under $5,000",2801,2031.7
2006,Prince Edward Island ,Trespass,17,12.33
2006,Prince Edward Island ,Weapons violations,35,25.39
2006,Quebec ,Attempted murder,233,3.05
2006,Quebec ,Counterfeiting,229,3
2006,Quebec ,Drug violations,20325,266.32
2006,Quebec ,Facilitate terrorist activit,4,0.05
2006,Quebec ,Firearms related crime,290,3.8
2006,Quebec ,Fraud,17900,234.54
2006,Quebec ,Homicide,93,1.22
2006,Quebec ,Impaired driving,16354,214.29
2006,Quebec ,Motor vehicle theft,38603,505.81
2006,Quebec ,Prostitution,1502,19.68
2006,Quebec ,Public incitement of hatred,0,0
2006,Quebec ,Robbery,7870,103.12
2006,Quebec ,Sexual violations against children,15,0.2
2006,Quebec ,"Theft over $5,000",5025,65.84
2006,Quebec ,"Theft under $5,000",107139,1403.84
2006,Quebec ,Trespass,311,4.08
2006,Quebec ,Weapons violations,1231,16.13
2006,Saskatchewan ,Attempted murder,52,5.24
2006,Saskatchewan ,Counterfeiting,61,6.15
2006,Saskatchewan ,Drug violations,2693,271.39
2006,Saskatchewan ,Facilitate terrorist activit,0,0
2006,Saskatchewan ,Firearms related crime,62,6.25
2006,Saskatchewan ,Fraud,3137,316.13
2006,Saskatchewan ,Homicide,42,4.23
2006,Saskatchewan ,Impaired driving,5151,519.1
2006,Saskatchewan ,Motor vehicle theft,6229,627.73
2006,Saskatchewan ,Prostitution,235,23.68
2006,Saskatchewan ,Public incitement of hatred,0,0
2006,Saskatchewan ,Robbery,1653,166.58
2006,Saskatchewan ,Sexual violations against children,10,1.01
2006,Saskatchewan ,"Theft over $5,000",405,40.81
2006,Saskatchewan ,"Theft under $5,000",23566,2374.88
2006,Saskatchewan ,Trespass,131,13.2
2006,Saskatchewan ,Weapons violations,865,87.17
2006,Yukon ,Attempted murder,0,0
2006,Yukon ,Counterfeiting,0,0
2006,Yukon ,Drug violations,145,449.32
2006,Yukon ,Facilitate terrorist activit,0,0
2006,Yukon ,Firearms related crime,1,3.1
2006,Yukon ,Fraud,85,263.39
2006,Yukon ,Homicide,0,0
2006,Yukon ,Impaired driving,234,725.11
2006,Yukon ,Motor vehicle theft,140,433.83
2006,Yukon ,Prostitution,0,0
2006,Yukon ,Public incitement of hatred,0,0
2006,Yukon ,Robbery,17,52.68
2006,Yukon ,Sexual violations against children,0,0
2006,Yukon ,"Theft over $5,000",19,58.88
2006,Yukon ,"Theft under $5,000",865,2680.43
2006,Yukon ,Trespass,2,6.2
2006,Yukon ,Weapons violations,20,61.98
2007,Alberta ,Attempted murder,64,1.82
2007,Alberta ,Counterfeiting,94,2.67
2007,Alberta ,Drug violations,9380,266.93
2007,Alberta ,Facilitate terrorist activit,0,0
2007,Alberta ,Firearms related crime,177,5.04
2007,Alberta ,Fraud,12729,362.23
2007,Alberta ,Homicide,88,2.5
2007,Alberta ,Impaired driving,14265,405.94
2007,Alberta ,Motor vehicle theft,23322,663.68
2007,Alberta ,Prostitution,521,14.83
2007,Alberta ,Public incitement of hatred,0,0
2007,Alberta ,Robbery,3870,110.13
2007,Alberta ,Sexual violations against children,48,1.37
2007,Alberta ,"Theft over $5,000",2455,69.86
2007,Alberta ,"Theft under $5,000",78873,2244.52
2007,Alberta ,Trespass,355,10.1
2007,Alberta ,Weapons violations,2176,61.92
2007,British Columbia ,Attempted murder,109,2.54
2007,British Columbia ,Counterfeiting,124,2.89
2007,British Columbia ,Drug violations,28472,663.53
2007,British Columbia ,Facilitate terrorist activit,1,0.02
2007,British Columbia ,Firearms related crime,486,11.33
2007,British Columbia ,Fraud,14703,342.65
2007,British Columbia ,Homicide,88,2.05
2007,British Columbia ,Impaired driving,14342,334.24
2007,British Columbia ,Motor vehicle theft,26981,628.78
2007,British Columbia ,Prostitution,1042,24.28
2007,British Columbia ,Public incitement of hatred,2,0.05
2007,British Columbia ,Robbery,5508,128.36
2007,British Columbia ,Sexual violations against children,256,5.97
2007,British Columbia ,"Theft over $5,000",3184,74.2
2007,British Columbia ,"Theft under $5,000",132489,3087.61
2007,British Columbia ,Trespass,943,21.98
2007,British Columbia ,Weapons violations,4229,98.56
2007,Manitoba ,Attempted murder,41,3.45
2007,Manitoba ,Counterfeiting,19,1.6
2007,Manitoba ,Drug violations,2554,214.74
2007,Manitoba ,Facilitate terrorist activit,0,0
2007,Manitoba ,Firearms related crime,65,5.47
2007,Manitoba ,Fraud,2251,189.26
2007,Manitoba ,Homicide,61,5.13
2007,Manitoba ,Impaired driving,3070,258.12
2007,Manitoba ,Motor vehicle theft,14690,1235.11
2007,Manitoba ,Prostitution,153,12.86
2007,Manitoba ,Public incitement of hatred,0,0
2007,Manitoba ,Robbery,2403,202.04
2007,Manitoba ,Sexual violations against children,2,0.17
2007,Manitoba ,"Theft over $5,000",578,48.6
2007,Manitoba ,"Theft under $5,000",21719,1826.1
2007,Manitoba ,Trespass,55,4.62
2007,Manitoba ,Weapons violations,930,78.19
2007,New Brunswick ,Attempted murder,5,0.67
2007,New Brunswick ,Counterfeiting,16,2.15
2007,New Brunswick ,Drug violations,1900,254.89
2007,New Brunswick ,Facilitate terrorist activit,0,0
2007,New Brunswick ,Firearms related crime,23,3.09
2007,New Brunswick ,Fraud,1774,237.99
2007,New Brunswick ,Homicide,8,1.07
2007,New Brunswick ,Impaired driving,2156,289.24
2007,New Brunswick ,Motor vehicle theft,1345,180.44
2007,New Brunswick ,Prostitution,121,16.23
2007,New Brunswick ,Public incitement of hatred,0,0
2007,New Brunswick ,Robbery,231,30.99
2007,New Brunswick ,Sexual violations against children,10,1.34
2007,New Brunswick ,"Theft over $5,000",274,36.76
2007,New Brunswick ,"Theft under $5,000",9798,1314.45
2007,New Brunswick ,Trespass,133,17.84
2007,New Brunswick ,Weapons violations,250,33.54
2007,Newfoundland and Labrador,Attempted murder,1,0.2
2007,Newfoundland and Labrador,Counterfeiting,4,0.79
2007,Newfoundland and Labrador,Drug violations,867,170.32
2007,Newfoundland and Labrador,Facilitate terrorist activit,0,0
2007,Newfoundland and Labrador,Firearms related crime,13,2.55
2007,Newfoundland and Labrador,Fraud,1150,225.92
2007,Newfoundland and Labrador,Homicide,3,0.59
2007,Newfoundland and Labrador,Impaired driving,1412,277.39
2007,Newfoundland and Labrador,Motor vehicle theft,604,118.65
2007,Newfoundland and Labrador,Prostitution,6,1.18
2007,Newfoundland and Labrador,Public incitement of hatred,0,0
2007,Newfoundland and Labrador,Robbery,161,31.63
2007,Newfoundland and Labrador,Sexual violations against children,3,0.59
2007,Newfoundland and Labrador,"Theft over $5,000",72,14.14
2007,Newfoundland and Labrador,"Theft under $5,000",5944,1167.69
2007,Newfoundland and Labrador,Trespass,36,7.07
2007,Newfoundland and Labrador,Weapons violations,183,35.95
2007,Northwest Territories ,Attempted murder,2,4.61
2007,Northwest Territories ,Counterfeiting,3,6.92
2007,Northwest Territories ,Drug violations,463,1067.46
2007,Northwest Territories ,Facilitate terrorist activit,0,0
2007,Northwest Territories ,Firearms related crime,8,18.44
2007,Northwest Territories ,Fraud,114,262.83
2007,Northwest Territories ,Homicide,2,4.61
2007,Northwest Territories ,Impaired driving,715,1648.45
2007,Northwest Territories ,Motor vehicle theft,302,696.27
2007,Northwest Territories ,Prostitution,5,11.53
2007,Northwest Territories ,Public incitement of hatred,0,0
2007,Northwest Territories ,Robbery,26,59.94
2007,Northwest Territories ,Sexual violations against children,0,0
2007,Northwest Territories ,"Theft over $5,000",29,66.86
2007,Northwest Territories ,"Theft under $5,000",1105,2547.61
2007,Northwest Territories ,Trespass,19,43.81
2007,Northwest Territories ,Weapons violations,66,152.16
2007,Nova Scotia ,Attempted murder,26,2.78
2007,Nova Scotia ,Counterfeiting,12,1.28
2007,Nova Scotia ,Drug violations,2514,268.86
2007,Nova Scotia ,Facilitate terrorist activit,0,0
2007,Nova Scotia ,Firearms related crime,40,4.28
2007,Nova Scotia ,Fraud,2506,268
2007,Nova Scotia ,Homicide,13,1.39
2007,Nova Scotia ,Impaired driving,2577,275.59
2007,Nova Scotia ,Motor vehicle theft,1887,201.8
2007,Nova Scotia ,Prostitution,110,11.76
2007,Nova Scotia ,Public incitement of hatred,0,0
2007,Nova Scotia ,Robbery,681,72.83
2007,Nova Scotia ,Sexual violations against children,14,1.5
2007,Nova Scotia ,"Theft over $5,000",353,37.75
2007,Nova Scotia ,"Theft under $5,000",15624,1670.89
2007,Nova Scotia ,Trespass,167,17.86
2007,Nova Scotia ,Weapons violations,605,64.7
2007,Nunavut ,Attempted murder,6,19.11
2007,Nunavut ,Counterfeiting,1,3.19
2007,Nunavut ,Drug violations,162,516.01
2007,Nunavut ,Facilitate terrorist activit,0,0
2007,Nunavut ,Firearms related crime,13,41.41
2007,Nunavut ,Fraud,70,222.97
2007,Nunavut ,Homicide,7,22.3
2007,Nunavut ,Impaired driving,288,917.34
2007,Nunavut ,Motor vehicle theft,209,665.71
2007,Nunavut ,Prostitution,1,3.19
2007,Nunavut ,Public incitement of hatred,0,0
2007,Nunavut ,Robbery,13,41.41
2007,Nunavut ,Sexual violations against children,0,0
2007,Nunavut ,"Theft over $5,000",17,54.15
2007,Nunavut ,"Theft under $5,000",385,1226.31
2007,Nunavut ,Trespass,2,6.37
2007,Nunavut ,Weapons violations,59,187.93
2007,Ontario ,Attempted murder,284,2.22
2007,Ontario ,Counterfeiting,228,1.79
2007,Ontario ,Drug violations,31203,244.46
2007,Ontario ,Facilitate terrorist activit,4,0.03
2007,Ontario ,Firearms related crime,450,3.53
2007,Ontario ,Fraud,34214,268.05
2007,Ontario ,Homicide,202,1.58
2007,Ontario ,Impaired driving,17902,140.25
2007,Ontario ,Motor vehicle theft,34463,270
2007,Ontario ,Prostitution,1341,10.51
2007,Ontario ,Public incitement of hatred,5,0.04
2007,Ontario ,Robbery,12476,97.74
2007,Ontario ,Sexual violations against children,138,1.08
2007,Ontario ,"Theft over $5,000",5403,42.33
2007,Ontario ,"Theft under $5,000",188158,1474.11
2007,Ontario ,Trespass,850,6.66
2007,Ontario ,Weapons violations,4984,39.05
2007,Prince Edward Island ,Attempted murder,1,0.73
2007,Prince Edward Island ,Counterfeiting,4,2.9
2007,Prince Edward Island ,Drug violations,205,148.85
2007,Prince Edward Island ,Facilitate terrorist activit,0,0
2007,Prince Edward Island ,Firearms related crime,2,1.45
2007,Prince Edward Island ,Fraud,260,188.79
2007,Prince Edward Island ,Homicide,0,0
2007,Prince Edward Island ,Impaired driving,605,439.29
2007,Prince Edward Island ,Motor vehicle theft,167,121.26
2007,Prince Edward Island ,Prostitution,0,0
2007,Prince Edward Island ,Public incitement of hatred,0,0
2007,Prince Edward Island ,Robbery,16,11.62
2007,Prince Edward Island ,Sexual violations against children,1,0.73
2007,Prince Edward Island ,"Theft over $5,000",43,31.22
2007,Prince Edward Island ,"Theft under $5,000",2467,1791.3
2007,Prince Edward Island ,Trespass,9,6.53
2007,Prince Edward Island ,Weapons violations,27,19.6
2007,Quebec ,Attempted murder,213,2.77
2007,Quebec ,Counterfeiting,202,2.63
2007,Quebec ,Drug violations,20359,264.65
2007,Quebec ,Facilitate terrorist activit,0,0
2007,Quebec ,Firearms related crime,305,3.96
2007,Quebec ,Fraud,15712,204.24
2007,Quebec ,Homicide,90,1.17
2007,Quebec ,Impaired driving,16200,210.59
2007,Quebec ,Motor vehicle theft,36081,469.03
2007,Quebec ,Prostitution,1163,15.12
2007,Quebec ,Public incitement of hatred,0,0
2007,Quebec ,Robbery,7213,93.76
2007,Quebec ,Sexual violations against children,54,0.7
2007,Quebec ,"Theft over $5,000",4607,59.89
2007,Quebec ,"Theft under $5,000",101551,1320.09
2007,Quebec ,Trespass,232,3.02
2007,Quebec ,Weapons violations,1349,17.54
2007,Saskatchewan ,Attempted murder,41,4.09
2007,Saskatchewan ,Counterfeiting,11,1.1
2007,Saskatchewan ,Drug violations,2901,289.51
2007,Saskatchewan ,Facilitate terrorist activit,0,0
2007,Saskatchewan ,Firearms related crime,58,5.79
2007,Saskatchewan ,Fraud,3194,318.75
2007,Saskatchewan ,Homicide,30,2.99
2007,Saskatchewan ,Impaired driving,5488,547.68
2007,Saskatchewan ,Motor vehicle theft,5528,551.67
2007,Saskatchewan ,Prostitution,203,20.26
2007,Saskatchewan ,Public incitement of hatred,0,0
2007,Saskatchewan ,Robbery,1568,156.48
2007,Saskatchewan ,Sexual violations against children,15,1.5
2007,Saskatchewan ,"Theft over $5,000",394,39.32
2007,Saskatchewan ,"Theft under $5,000",21218,2117.46
2007,Saskatchewan ,Trespass,124,12.37
2007,Saskatchewan ,Weapons violations,955,95.3
2007,Yukon ,Attempted murder,0,0
2007,Yukon ,Counterfeiting,1,3.07
2007,Yukon ,Drug violations,228,700.31
2007,Yukon ,Facilitate terrorist activit,0,0
2007,Yukon ,Firearms related crime,2,6.14
2007,Yukon ,Fraud,102,313.3
2007,Yukon ,Homicide,2,6.14
2007,Yukon ,Impaired driving,375,1151.83
2007,Yukon ,Motor vehicle theft,135,414.66
2007,Yukon ,Prostitution,2,6.14
2007,Yukon ,Public incitement of hatred,0,0
2007,Yukon ,Robbery,16,49.14
2007,Yukon ,Sexual violations against children,1,3.07
2007,Yukon ,"Theft over $5,000",21,64.5
2007,Yukon ,"Theft under $5,000",743,2282.15
2007,Yukon ,Trespass,11,33.79
2007,Yukon ,Weapons violations,28,86
2008,Alberta ,Attempted murder,76,2.11
2008,Alberta ,Counterfeiting,188,5.23
2008,Alberta ,Drug violations,10037,279.13
2008,Alberta ,Facilitate terrorist activit,1,0.03
2008,Alberta ,Firearms related crime,221,6.15
2008,Alberta ,Fraud,12607,350.61
2008,Alberta ,Homicide,110,3.06
2008,Alberta ,Impaired driving,17075,474.87
2008,Alberta ,Motor vehicle theft,22186,617.01
2008,Alberta ,Prostitution,684,19.02
2008,Alberta ,Public incitement of hatred,1,0.03
2008,Alberta ,Robbery,3820,106.24
2008,Alberta ,Sexual violations against children,122,3.39
2008,Alberta ,"Theft over $5,000",2555,71.06
2008,Alberta ,"Theft under $5,000",75088,2088.24
2008,Alberta ,Trespass,366,10.18
2008,Alberta ,Weapons violations,2136,59.4
2008,British Columbia ,Attempted murder,101,2.32
2008,British Columbia ,Counterfeiting,106,2.44
2008,British Columbia ,Drug violations,27032,621.51
2008,British Columbia ,Facilitate terrorist activit,2,0.05
2008,British Columbia ,Firearms related crime,259,5.95
2008,British Columbia ,Fraud,14107,324.34
2008,British Columbia ,Homicide,117,2.69
2008,British Columbia ,Impaired driving,14304,328.87
